"x"
18
15
22
27
27
19
21
27
23
21
24
23
21
26
17
13
38
42
43
30
31
28
38
35
23
21
17
25
35
25
11
22
13
24
23
17
16
18
26
20
20
30
28
42
30
23
33
34
14
28
25
34
35
23
21
24
24
13
19
29
27
50
20
25
24
37
14
23
23
19
35
26
17
24
24
12
35
32
23
30
11
18
22
24
18
23
36
17
11
23
31
26
32
39
31
13
25
11
22
25
25
43
33
28
14
27
26
46
23
15
33
25
20
11
25
32
18
29
24
11
23
28
25
29
14
22
32
19
36
35
12
38
35
15
16
26
35
24
35
32
16
17
34
24
20
11
19
35
27
22
21
27
28
20
31
17
23
32
30
29
15
42
27
19
20
22
25
22
40
21
27
30
21
29
23
31
20
34
24
14
40
37
13
26
24
21
32
43
40
21
16
22
29
19
24
34
19
35
27
12
36
22
20
14
32
34
28
26
26
23
37
25
30
25
24
18
22
36
18
15
26
12
28
26
26
22
34
18
21
39
29
22
27
32
48
20
15
13
25
28
36
12
23
14
24
20
46
26
19
34
30
16
29
29
32
30
15
18
22
13
23
13
34
29
22
18
31
31
31
25
20
34
20
20
27
32
16
12
